,Major,EarlyCareerPay,MidCareerPay
183,Construction Trades,61900,103100
184,Operations Management (OM),61500,103000
185,Entrepreneurship & Leadership,57100,102900
186,Electrical Engineering Technology (EET),66300,102800
187,Computer Science & Information Technology,66000,102700
188,Food Marketing,56300,102700
189,International Marketing,59000,102600
190,Network Engineering,60700,102600
191,Building Construction Management,61300,102400
192,Engineering Technology (ET),58400,102300
193,International Relations,52800,102200
194,Management & Finance,56800,102200
195,Information Security,66400,102200
196,Business Operations,63500,102100
197,Industrial Management,57800,102000
198,Architectural Engineering,65000,101900
199,Hotel Administration,64900,101900
200,Manufacturing,57600,101500
201,Agricultural Economics & Business,54900,101400
202,Web Development,56400,101300
203,Aviation,54000,101200
204,Telecommunications Management,55000,101200
205,Property Management,55200,101000
206,Comparative Literature,48100,100900
207,Construction Science & Management,64700,100800
208,Biotechnology,53100,100700
209,Industrial & Labor Relations,69800,100600
210,Real Estate,59900,100600
211,Mechanical Engineering Technology (MET),64200,100400
212,Labor Relations,53000,100300
213,Electronics,57500,100200
214,Biochemistry (BCH),50400,99900
215,Politics,53000,99900
216,Accounting & Auditing,57800,99800
217,Chinese Language,54200,99600
218,Information Science (IS),66300,99500
219,East Asian Studies,49800,99400
220,Accounting & Finance,59200,99300
221,Network Security,62300,99300
222,Information Technology (IT),59100,99200
223,Aviation Management,50900,99100
224,Occupational Health and Safety,59900,99100
225,Agribusiness,50700,98900
226,Business & Marketing,51000,98900
227,Computer Engineering Technology (CET),63000,98900
228,Computer Security,68100,98700
229,Operations & Supply Chain Management,61300,98600
230,Entomology,45900,98500
231,Music Production & Engineering,43100,98400
232,Industrial Engineering Technology,67200,98400
233,Logistics & Supply Chain Management,59000,98300
234,Supply Chain Management,61700,98300
235,Accounts,59800,98300
236,Economics & Management,54400,98200
237,Environmental Policy Analysis & Planning,51000,98200
238,Physical Therapy,55500,98200
239,European History,52300,98000
240,Robotics & Automation,66100,98000
241,Geological Engineering,61700,97900
242,Manufacturing Technology,59900,97900
243,Chemistry,51600,97500
244,Business Logistics & Transportation,56400,97400
245,Food Science & Technology,53100,97300
246,City & Regional Planning,51800,97200
247,Civil Engineering Technology (CET),58300,97200
248,Electronics Engineering Technology (EET),64300,97100
249,English & Psychology,42600,97100
250,Finance & Banking,55300,97100
251,Mechanical Design,60900,97100
252,Applied Technology,55500,97000
253,Marketing & Management,50000,96900
254,Technical & Scientific Communication,50700,96800
255,Financial Planning,54000,96600
256,Organizational Behavior,57000,96600
257,Marketing,51700,96600
258,Dairy Science,51200,96200
259,Project Management,56800,96200
260,Government & International Politics (GVIP),51300,96100
261,Latin American Studies,46700,96100
262,Industrial Design (ID),55100,95900
263,Web Design & Development,53100,95900
264,Computing & Information Systems (CIS),58100,95800
265,Electromechanical Engineering,70500,95800
266,Industrial Technology (IT),62200,95800
267,Information Technology (IT) & Systems,61100,95800
268,Biopsychology,53300,95700
269,Government & Politics,52400,95700
270,Microbiology & Immunology,54900,95400
271,Chemistry & Environmental Science,48200,95400
272,Interactive Media Design,54000,95300
273,Risk Management,58500,95300
274,Cell Biology,50100,95200
275,Aeronautics,62800,95100
276,Welding Engineering Technology,74700,95000
277,Finance & Management Information Systems,63900,94800
278,Computer Science (CS) & Business,81100,94600
279,Environmental Science & Policy,49500,94500
280,Marketing & Communications,49600,94500
281,Safety Management,60100,94500
282,Business Technology Management,57400,94400
283,Computer Networking Systems,55600,94400
284,Biomedical Sciences,43600,94300
285,Philosophy,52600,94300
286,Sales & Marketing,52700,94300
287,Manufacturing Engineering Technology,66000,94300
288,Environmental Health & Safety,57600,94200
289,Organizational Psychology,51200,94100
290,Industrial Psychology,50000,94000
291,Political Science,50700,94000
292,Real Estate Development,57100,94000
293,Social Ecology,49000,93700
294,Risk Management & Insurance,59500,93600
295,Radiation Therapy,68400,93400
296,French Literature,46400,93300
297,Occupational Therapy (OT),54100,93300
298,Advertising,47200,93200
299,Accounting,54800,93100
300,Geology,50400,93000
301,Strategic Communication,47100,93000
302,Transportation & Logistics Management,57600,93000
303,Financial Accounting,56100,92900
304,Cell & Molecular Biology,51900,92800
305,Industrial Safety,55200,92800
306,Insurance,56000,92800
307,Manufacturing Management,64000,92800
308,Networks & Telecommunications,54300,92800
309,Labor Studies,46600,92600
310,Digital Media Design,46700,92600
311,Advertising & Marketing Communications,48300,92600
312,Cinema Studies,47900,92500
313,Electronic & Computer Technology,63800,92500
314,Marketing Communication,45700,92500
315,Construction Technology,59100,92400
316,Architecture,51000,92300
317,Applied Statistics,65900,92200
318,Biological Sciences,49300,92100
319,Food Science,52500,92100
320,Urban & Regional Planning,51800,92100
321,Marketing Management,51300,92000
322,Computer & Network Administration,56800,91900
323,Applied Computer Science,66100,91800
324,Sales,61500,91600
325,Environmental Design,47700,91400
326,Hotel Management,49100,91400
327,Advertising Design,52700,91300
328,Digital Arts,45600,91300
329,Financial Management,54300,91300
330,Electronic Systems Technology (EST),81000,91200
331,Italian Language,51400,91100
332,German Studies,50000,91000
333,Quality Management,57400,90800
334,Microbiology,48400,90300
335,Entrepreneurship,54800,90300
336,Interactive Media,52700,90200
337,Global Business Management,55900,90200
338,Network Systems Administration,57900,90200
339,Police Science,55400,90200
340,Hydrology,48700,90100
341,Business Data Analysis,64700,90000
342,Database Management,65900,90000
343,Spanish Literature,51100,90000
344,Business Technology,52800,89900
345,Business Management & Marketing,48900,89800
346,Technical Management,64400,89700
347,Human Biology,51100,89600
348,Meteorology,46200,89500
349,Computer Graphics Technology (CGT),49000,89200
350,Urban Planning,50500,89200
351,Aviation Technology,58100,89100
352,Environmental Health,50000,89100
353,Agricultural Science,48900,88900
354,Agronomy,50200,88900
355,International Studies,50000,88900
356,Design,52800,88800
357,Applied Science,46400,88700
358,Architectural Engineering Technology,52200,88700
359,German Language,50700,88700
360,Technology,56200,88600
361,Advertising & Promotion,46100,88500
362,Pre-law,46800,88400
363,Digital Media,47300,88200
364,Biological Anthropology,46200,88100
365,Personal Financial Planning,53800,88100
366,Professional Pilot Education,63700,88000
367,Textile Technology,54000,88000
368,Web & Digital Media Development,52300,88000
369,Entrepreneurial Studies,48700,87900
370,Fashion Design,47500,87700
371,Retailing,51300,87600
372,Business Communication,50900,87300
373,Environmental Science,49100,87300
374,Product Design Engineering,65500,87200
375,English Literature,47700,87000
376,Logistics,57600,87000
377,Math & Science,55600,86900
378,International Trade & Business,54800,86800
379,Pre-Medicine,50800,86800
380,Speech & Drama,37500,86800
381,Toxicology,44600,86800
382,Advertising & Marketing,49000,86700
383,Geographic Information Systems (GIS) & Spatial Analysis,54000,86700
384,Marketing & Mass Communications,45400,86700
385,Welding Technology,48400,86700
386,General Business,50200,86600
387,Construction Engineering Technology,55800,86400
388,Architectural Studies,45400,86400
389,Aviation Maintenance Technology,51000,86300
390,Communication Studies & Journalism,44800,86200
391,Management,51600,86200
392,General Science,49100,86100
393,Magazine Journalism,46800,86100
394,Electronics & Computer Technology,55600,86000
395,Theatre & Drama Studies,44800,86000
396,Animation,45000,85900
397,Biology & Chemistry,49200,85900
398,Diagnostic Medical Ultrasound,67700,85900
399,History & Politics,49500,85900
400,Public Affairs,52700,85900
401,Romance Languages,53000,85900
402,Physiology,49300,85900
403,Corporate Communications,48500,85700
404,International Affairs,51600,85700
405,Nursing Science,66800,85700
406,Organizational Development,53800,85700
407,Textile & Apparel Studies,47100,85700
408,Business Administration,52800,85600
409,Business Administration & Accounting,52400,85600
410,Philosophy & Religion,43800,85600
411,Architectural Design,47700,85400
412,Textile Design,50000,85200
413,Interpersonal & Organizational Communication,42400,85200
414,Geographic Information Systems (GIS),50000,85100
415,Business Management,51700,85000
416,Linguistics,52100,84900
417,French Language,49600,84800
418,Communication,48000,84700
419,Neuroscience,51800,84700
420,Business Management & Human Resources Management (HRM),46800,84600
421,Journalism & Mass Communication,46300,84600
422,Accounting & Management,55500,84500
423,Sociology & Organizational Studies,53500,84300
424,Crop Science,48700,84200
425,French Studies,52400,84200
426,Writing,44200,84200
427,Nursing,65000,84200
428,History,47800,84100
429,Biology,47100,84000
430,Land Surveying,51900,84000
431,Architectural Technology,46700,83900
432,Health Care,44400,83900
433,Integrated Marketing Communications,47000,83900
434,Agriculture,47700,83800
435,Digital Design,50000,83600
436,Marketing & Advertising,49300,83600
437,Organizational Communication,46400,83600
438,Visual Effects & Motion Graphics,48100,83400
439,Public Relations & Communication,45700,83300
440,General & Strategic Management,51200,83300
441,Foreign Languages,48400,83100
442,Retail Merchandising,50900,83100
443,Agribusiness Management,47700,83000
444,Global Business,55800,83000
445,Professional & Technical Writing,48500,83000
446,Computer Art,40400,82900
447,Environmental Management,50200,82900
448,Environmental Studies,48500,82900
449,Journalism,45900,82900
450,Travel Industry Management,52600,82900
451,International Development Studies,47700,82800
452,Natural Sciences,45100,82800
453,Retail & Consumer Science,51800,82800
454,Literature,46800,82800
455,Bachelor in Science Nursing,64000,82700
456,History & Political Science,50600,82700
457,Museum Studies,38900,82700
458,Computer Information Management,49400,82600
459,Dental Hygiene,72700,82600
460,Law,54300,82600
461,Network Technology,59800,82600
462,Media Studies,50700,82400
463,Environmental Geography,50200,82300
464,Law Enforcement,46700,82200
465,Nuclear Medicine,60300,81900
466,Bachelor of Science in Nursing,63800,81900
467,Computer Animation,46800,81800
468,Landscape Architecture,51500,81800
469,Publishing,46300,81800
470,Interior Architecture,47600,81500
471,Diagnostic Medical Sonography,64300,81400
472,Environmental & Natural Resource Economics,52400,81400
473,Public Relations (PR),45600,81400
474,Workforce Education & Development,59900,81400
475,American History (United States),50900,81300
476,Drama,47400,81100
477,Management (MGT),47000,81000
478,Merchandising Management,46800,80900
479,Environmental Biology,45000,80800
480,Accounting & Business,52400,80700
481,Automotive Technology & Service Management,48800,80500
482,Speech Communication,46700,80500
483,Allied Health,44800,80400
484,Agricultural Systems Technology,60500,80300
485,Emergency Management,50900,80300
486,Network Administration,48700,80300
487,Communication Management,46000,80200
488,Historic Preservation,43400,80000
489,Broadcast Journalism,42900,79900
490,Broadcast & Cinematic Arts,42800,79900
491,Automotive Technology,48100,79800
492,Business Management & Administration,51400,79800
493,Agricultural Business,52700,79700
494,Technology Management,56400,79700
495,Global Studies,51200,79600
496,Professional Studies,42800,79600
497,Interpersonal Communications,45000,79500
498,Forestry,45900,79400
499,Homeland Security,49200,79400
500,Ancient History,46000,79300
501,Botany,42600,79300
502,Geography,49700,79300
503,Computer Aided Design (CAD),48700,79200
504,Nutrition Science,49500,79200
505,Acting,44200,79100
