,Rank,Major,Degree Type,Early Career Pay,Mid Career Pay,% High Meaning
15,Rank:66,Major:Bioengineering (BioE),Degree Type:Bachelors,"$70,900","$121,300",67%
16,Rank:67,Major:Aeronautical/Aerospace Engineering Technology,Degree Type:Bachelors,"$76,900","$121,200",53%
17,Rank:68,Major:Integrated Science & Technology,Degree Type:Bachelors,"$65,200","$121,100",56%
18,Rank:69,Major:Operations Management & Information Systems,Degree Type:Bachelors,"$66,100","$120,900",38%
19,Rank:70,Major:Software Engineering,Degree Type:Bachelors,"$75,000","$120,000",43%
20,Rank:71,Major:Physics,Degree Type:Bachelors,"$65,900","$119,700",48%
21,Rank:72,Major:Quantitative Economics,Degree Type:Bachelors,"$65,000","$119,600",43%
22,Rank:73,Major:Computer & Information Science,Degree Type:Bachelors,"$63,600","$119,500",55%
23,Rank:74,Major:Geophysics,Degree Type:Bachelors,"$58,000","$119,000",47%
24,Rank:75,Major:Accounting & Economics,Degree Type:Bachelors,"$65,900","$118,900",44%
,Rank,Major,Degree Type,Early Career Pay,Mid Career Pay,% High Meaning
0,Rank:76,Major:Physician Assistant Studies,Degree Type:Bachelors,"$95,900","$118,500",84%
1,Rank:77,Major:Mining Engineering,Degree Type:Bachelors,"$78,800","$118,300",64%
2,Rank:78,Major:Construction Engineering Management,Degree Type:Bachelors,"$68,800","$118,200",57%
3,Rank:79,Major:Mechanical Engineering (ME),Degree Type:Bachelors,"$71,000","$117,600",50%
4,Rank:80,Major:Materials Science & Engineering,Degree Type:Bachelors,"$72,700","$117,500",47%
5,Rank:81,Major:Engineering Mechanics,Degree Type:Bachelors,"$75,500","$117,400",-
6,Rank:81,Major:Industrial Engineering (IE),Degree Type:Bachelors,"$71,900","$117,400",44%
7,Rank:81,Major:International Business & Finance,Degree Type:Bachelors,"$61,400","$117,400",31%
8,Rank:84,Major:Accounting & Computer Systems,Degree Type:Bachelors,"$63,000","$117,300",37%
9,Rank:85,Major:Business & Information Technology (IT),Degree Type:Bachelors,"$60,100","$116,900",44%
10,Rank:86,Major:Applied Physics,Degree Type:Bachelors,"$67,300","$116,500",52%
11,Rank:87,Major:International Economics,Degree Type:Bachelors,"$58,700","$116,300",48%
12,Rank:88,Major:Business & Economics,Degree Type:Bachelors,"$59,600","$116,200",46%
13,Rank:89,Major:Ceramic Engineering,Degree Type:Bachelors,"$69,200","$115,700",-
14,Rank:89,Major:Economics,Degree Type:Bachelors,"$62,000","$115,700",41%
15,Rank:89,Major:Pharmaceutical Sciences (PS),Degree Type:Bachelors,"$52,800","$115,700",69%
16,Rank:92,Major:Telecommunications Engineering,Degree Type:Bachelors,"$66,400","$115,400",47%
17,Rank:93,Major:Information & Decision Sciences,Degree Type:Bachelors,"$65,200","$115,200",33%
18,Rank:93,Major:Materials Engineering,Degree Type:Bachelors,"$72,300","$115,200",58%
19,Rank:93,Major:Paper Science,Degree Type:Bachelors,"$77,000","$115,200",39%
20,Rank:96,Major:Asian Studies,Degree Type:Bachelors,"$47,700","$115,100",41%
21,Rank:96,Major:Structural Engineering (SE),Degree Type:Bachelors,"$67,800","$115,100",66%
22,Rank:98,Major:Industrial Distribution,Degree Type:Bachelors,"$63,600","$115,000",48%
23,Rank:99,Major:Management Information Systems (MIS),Degree Type:Bachelors,"$65,000","$114,100",42%
24,Rank:100,Major:Electronics Engineering,Degree Type:Bachelors,"$69,600","$113,900",66%
,Rank,Major,Degree Type,Early Career Pay,Mid Career Pay,% High Meaning
0,Rank:100,Major:Finance & Economics,Degree Type:Bachelors,"$62,600","$113,900",42%
1,Rank:102,Major:Medical Science,Degree Type:Bachelors,"$52,000","$113,800",-
2,Rank:102,Major:Japanese Studies,Degree Type:Bachelors,"$51,500","$113,800",21%
3,Rank:102,Major:Automotive Engineering,Degree Type:Bachelors,"$67,300","$113,800",48%
4,Rank:105,Major:Information Management,Degree Type:Bachelors,"$64,300","$112,800",38%
5,Rank:106,Major:Management Science,Degree Type:Bachelors,"$64,600","$112,700",43%
6,Rank:106,Major:Mechanical,Degree Type:Bachelors,"$70,200","$112,700",54%
7,Rank:108,Major:Construction Engineering,Degree Type:Bachelors,"$67,300","$112,500",59%
8,Rank:109,Major:Finance & Investments,Degree Type:Bachelors,"$64,100","$112,400",44%
9,Rank:109,Major:Mathematics & Statistics,Degree Type:Bachelors,"$63,100","$112,400",43%
10,Rank:111,Major:Information Systems Management,Degree Type:Bachelors,"$59,200","$112,300",49%
11,Rank:112,Major:Construction Project Management,Degree Type:Bachelors,"$61,100","$112,200",58%
12,Rank:112,Major:Engineering Management,Degree Type:Bachelors,"$69,000","$112,200",57%
13,Rank:112,Major:Packaging Science,Degree Type:Bachelors,"$70,000","$112,200",35%
14,Rank:115,Major:Industrial Engineering & Management,Degree Type:Bachelors,"$68,300","$112,000",55%
15,Rank:116,Major:Engineering Physics,Degree Type:Bachelors,"$70,500","$111,800",50%
16,Rank:117,Major:Energy Management,Degree Type:Bachelors,"$72,300","$111,700",71%
17,Rank:118,Major:Aeronautical Science,Degree Type:Bachelors,"$57,700","$111,600",57%
18,Rank:119,Major:Government,Degree Type:Bachelors,"$55,100","$111,200",47%
19,Rank:120,Major:Software Applications & Programming,Degree Type:Bachelors,"$59,300","$110,800",45%
20,Rank:121,Major:Astrophysics,Degree Type:Bachelors,"$69,300","$110,700",64%
21,Rank:122,Major:Bioenvironmental Science,Degree Type:Bachelors,"$47,700","$110,500",-
22,Rank:123,Major:Japanese Language,Degree Type:Bachelors,"$53,300","$110,300",42%
23,Rank:124,Major:Business Economics,Degree Type:Bachelors,"$58,400","$110,200",43%
24,Rank:124,Major:Finance & Real Estate,Degree Type:Bachelors,"$63,000","$110,200",44%
,Rank,Major,Degree Type,Early Career Pay,Mid Career Pay,% High Meaning
0,Rank:126,Major:Manufacturing Engineering,Degree Type:Bachelors,"$69,300","$110,000",47%
1,Rank:127,Major:Atmospheric Science,Degree Type:Bachelors,"$48,700","$109,900",55%
2,Rank:128,Major:Cybersecurity,Degree Type:Bachelors,"$65,600","$109,800",55%
3,Rank:129,Major:Information Security & Assurance,Degree Type:Bachelors,"$61,400","$109,300",47%
4,Rank:130,Major:Medicine,Degree Type:Bachelors,"$60,600","$109,200",92%
5,Rank:131,Major:Civil Engineering (CE),Degree Type:Bachelors,"$65,000","$109,000",65%
6,Rank:132,Major:Environmental Health & Safety Management,Degree Type:Bachelors,"$61,100","$108,800",61%
7,Rank:133,Major:Mathematics,Degree Type:Bachelors,"$63,500","$108,700",45%
8,Rank:134,Major:Applied Economics,Degree Type:Bachelors,"$61,400","$108,600",38%
9,Rank:135,Major:Construction Science,Degree Type:Bachelors,"$67,400","$108,500",63%
10,Rank:135,Major:Political Communication,Degree Type:Bachelors,"$48,800","$108,500",55%
11,Rank:137,Major:Marketing & International Business,Degree Type:Bachelors,"$52,500","$108,400",34%
12,Rank:137,Major:Software Development,Degree Type:Bachelors,"$65,500","$108,400",45%
13,Rank:139,Major:Biochemistry & Molecular Biology,Degree Type:Bachelors,"$53,900","$108,100",71%
14,Rank:140,Major:Computing,Degree Type:Bachelors,"$63,500","$108,000",53%
15,Rank:140,Major:Construction Management,Degree Type:Bachelors,"$63,200","$108,000",58%
16,Rank:142,Major:Accounting & Taxation,Degree Type:Bachelors,"$55,600","$107,800",41%
17,Rank:142,Major:Building Construction (BC),Degree Type:Bachelors,"$67,200","$107,800",52%
18,Rank:142,Major:International & Comparative Politics,Degree Type:Bachelors,"$45,700","$107,800",53%
19,Rank:145,Major:Civil & Environmental Engineering,Degree Type:Bachelors,"$65,300","$107,500",67%
20,Rank:146,Major:Business Information Systems,Degree Type:Bachelors,"$65,000","$107,400",43%
21,Rank:147,Major:Financial Economics,Degree Type:Bachelors,"$63,300","$107,200",41%
22,Rank:147,Major:Sales & Business Marketing,Degree Type:Bachelors,"$55,900","$107,200",51%
23,Rank:149,Major:Plastics Engineering,Degree Type:Bachelors,"$68,400","$107,100",58%
24,Rank:150,Major:Information Technology Management,Degree Type:Bachelors,"$63,400","$107,000",48%
,Rank,Major,Degree Type,Early Career Pay,Mid Career Pay,% High Meaning
0,Rank:151,Major:Polymer Science & Engineering,Degree Type:Bachelors,"$74,500","$106,900",-
1,Rank:152,Major:Informatics,Degree Type:Bachelors,"$70,300","$106,800",42%
2,Rank:153,Major:Computer Management Information Systems (CMIS),Degree Type:Bachelors,"$55,700","$106,600",47%
3,Rank:153,Major:Information Systems (IS),Degree Type:Bachelors,"$63,900","$106,600",44%
4,Rank:155,Major:Agricultural Economics,Degree Type:Bachelors,"$55,600","$106,300",58%
5,Rank:156,Major:Data Processing,Degree Type:Bachelors,"$65,600","$106,200",45%
6,Rank:157,Major:European Studies,Degree Type:Bachelors,"$47,500","$106,100",46%
7,Rank:158,Major:Biosystems Engineering,Degree Type:Bachelors,"$64,700","$106,000",74%
8,Rank:158,Major:Nuclear Engineering Technology (NET),Degree Type:Bachelors,"$83,500","$106,000",62%
9,Rank:160,Major:Economics & Political Science,Degree Type:Bachelors,"$57,100","$105,700",47%
10,Rank:160,Major:Global & International Studies,Degree Type:Bachelors,"$50,000","$105,700",46%
11,Rank:162,Major:Organic Chemistry,Degree Type:Bachelors,"$44,500","$105,600",-
12,Rank:163,Major:Industrial Hygiene,Degree Type:Bachelors,"$58,600","$105,500",55%
13,Rank:163,Major:Safety Science,Degree Type:Bachelors,"$62,400","$105,500",-
